Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,209142752891577,209142821409733,68518156,262144000,0,0x00080000,0x00020000,c,l,524288,2,c,w,131072,2
1,209143015952611,209143126472384,110519773,262144000,0,0x00080000,0x00020000,c,l,524288,2,c,w,131072,2
2,209143340223922,209143482250142,142026220,262144000,0,0x00080000,0x00020000,c,l,524288,2,c,w,131072,2
3,209143688491769,209143850703277,162211508,262144000,0,0x00080000,0x00020000,c,l,524288,2,c,w,131072,2
0,209103521848101,209103529039029,7190928,32768000,0,0x00010000,0x00020000,c,l,65536,2,c,w,131072,2
1,209103723959675,209103735341182,11381507,32768000,0,0x00010000,0x00020000,c,l,65536,2,c,w,131072,2
2,209103948253836,209103962896909,14643073,32768000,0,0x00010000,0x00020000,c,l,65536,2,c,w,131072,2
3,209104168486641,209104185142085,16655444,32768000,0,0x00010000,0x00020000,c,l,65536,2,c,w,131072,2
0,203136148899969,203136182785705,33885736,131072000,0,0x00040000,0x00020000,c,l,262144,2,c,r,131072,2
1,203136379971637,203136429815968,49844331,131072000,0,0x00040000,0x00020000,c,l,262144,2,c,r,131072,2
2,203136644223201,203136713392522,69169321,131072000,0,0x00040000,0x00020000,c,l,262144,2,c,r,131072,2
3,203136916482064,203136996132523,79650459,131072000,0,0x00040000,0x00020000,c,l,262144,2,c,r,131072,2
0,203316500863933,203318791306888,2290442955,1048576000,0,0x00200000,0x00020000,c,l,2097152,2,c,r,131072,2
1,203318987954306,203321362927327,2374973021,1048576000,0,0x00200000,0x00020000,c,l,2097152,2,c,r,131072,2
2,203321576221739,203324020872851,2444651112,1048576000,0,0x00200000,0x00020000,c,l,2097152,2,c,r,131072,2
3,203324224494757,203326724601750,2500106993,1048576000,0,0x00200000,0x00020000,c,l,2097152,2,c,r,131072,2
0,209372933538313,209375213124423,2279586110,1048576000,0,0x00200000,0x00020000,c,l,2097152,2,c,w,131072,2
1,209375407954570,209377787050713,2379096143,1048576000,0,0x00200000,0x00020000,c,l,2097152,2,c,w,131072,2
2,209378000224332,209380449709358,2449485026,1048576000,0,0x00200000,0x00020000,c,l,2097152,2,c,w,131072,2
3,209380668496969,209383172695241,2504198272,1048576000,0,0x00200000,0x00020000,c,l,2097152,2,c,w,131072,2
0,209124440897264,209124474763467,33866203,131072000,0,0x00040000,0x00020000,c,l,262144,2,c,w,131072,2
1,209124671969042,209124726869867,54900825,131072000,0,0x00040000,0x00020000,c,l,262144,2,c,w,131072,2
2,209124940223195,209125010801827,70578632,131072000,0,0x00040000,0x00020000,c,l,262144,2,c,w,131072,2
3,209125216492219,209125296985622,80493403,131072000,0,0x00040000,0x00020000,c,l,262144,2,c,w,131072,2
0,203115834745796,203115841918563,7172767,32768000,0,0x00010000,0x00020000,c,l,65536,2,c,r,131072,2
1,203116039969971,203116050318765,10348794,32768000,0,0x00010000,0x00020000,c,l,65536,2,c,r,131072,2
2,203116264220048,203116278574822,14354774,32768000,0,0x00010000,0x00020000,c,l,65536,2,c,r,131072,2
3,203116484489207,203116500989125,16499918,32768000,0,0x00010000,0x00020000,c,l,65536,2,c,r,131072,2
