Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,497402573993,498819724581,1417150588,2097152000,2097152000,0x00400000,0x00400000
1,499014244727,500457976461,1443731734,2097152000,2097152000,0x00400000,0x00400000
2,500670476813,502256743488,1586266675,2097152000,2097152000,0x00400000,0x00400000
3,502463405848,507520702329,5057296481,2097152000,2097152000,0x00400000,0x00400000
