Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,1765192326419,1765205748870,13422451,131072000,131072000,0x00040000,0x00400000
1,1765402521841,1765416797717,14275876,131072000,131072000,0x00040000,0x00400000
2,1765630719662,1765646532402,15812740,131072000,131072000,0x00040000,0x00400000
3,1765851129934,1765896671505,45541571,131072000,131072000,0x00040000,0x00400000
