Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,23579988939810,23582307915825,2318976015,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,r,4194304,3
1,23582502263404,23584868765948,2366502544,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,r,4194304,3
2,23585082493674,23587450240252,2367746578,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,r,4194304,3
3,23587654742855,23590811435363,3156692508,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,r,4194304,3
0,23742614069238,23744905510762,2291441524,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,w,4194304,3
1,23745098260141,23747465143724,2366883583,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,w,4194304,3
2,23747678475219,23750717295090,3038819871,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,w,4194304,3
3,23750927402733,23761261992896,10334590163,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,w,4194304,3
0,23026294016402,23026295310371,1293969,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,r,4194304,3
1,23026490408455,23026491753559,1345104,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,r,4194304,3
2,23026702481215,23026703871744,1390529,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,r,4194304,3
3,23026906805920,23026908175077,1369157,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,r,4194304,3
0,23035506530341,23035507824720,1294379,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,w,4194304,3
1,23035702248226,23035703589630,1341404,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,w,4194304,3
2,23035914479982,23035915834667,1354685,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,w,4194304,3
3,23036135271393,23036136832369,1560976,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,w,4194304,3
0,23074895523019,23074912105105,16582086,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,w,4194304,3
1,23075106303569,23075124067524,17763955,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,w,4194304,3
2,23075334491229,23075352793368,18302139,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,w,4194304,3
3,23075559410462,23075582417531,23007069,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,w,4194304,3
0,26942519203187,26963327944108,20808740921,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,w,4194304,3
1,26963702255218,26984555146421,20852891203,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,w,4194304,3
2,26984766484877,27012038220013,27271735136,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,w,4194304,3
3,27012259464839,27105225555021,92966090182,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,w,4194304,3
0,23192013771166,23192153590807,139819641,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,r,4194304,3
1,23192346322124,23193520940118,1174617994,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,r,4194304,3
2,23193734461183,23194909892649,1175431466,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,r,4194304,3
3,23195114740597,23196685138216,1570397619,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,r,4194304,3
0,25562387233662,25583194672643,20807438981,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,r,4194304,3
1,25583570259830,25604453206216,20882946386,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,r,4194304,3
2,25604666477605,25625648547795,20982070190,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,r,4194304,3
3,25626034758434,25653979714526,27944956092,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,r,4194304,3
0,23064711494139,23064728034342,16540203,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,r,4194304,3
1,23064922258078,23064940386899,18128821,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,r,4194304,3
2,23065150477011,23065169335285,18858274,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,r,4194304,3
3,23065374742359,23065393814815,19072456,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,r,4194304,3
0,23259205490265,23259345952200,140461935,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,w,4194304,3
1,23259542260014,23260716713012,1174452998,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,w,4194304,3
2,23260930472010,23262339814698,1409342688,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,w,4194304,3
3,23262555424971,23267528817829,4973392858,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,w,4194304,3
0,23098793313409,23098827247910,33934501,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,w,4194304,3
1,23099022318311,23099058845330,36527019,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,w,4194304,3
2,23099270478846,23099308001435,37522589,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,w,4194304,3
3,23099523348472,23099574201613,50853141,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,w,4194304,3
0,24106342117097,24109356156231,3014039134,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,w,4194304,3
1,24109550247224,24112565933463,3015686239,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,w,4194304,3
2,24112778496902,24116555088178,3776591276,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,w,4194304,3
3,24116775442576,24130138361731,13362919155,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,w,4194304,3
0,23342001832474,23343239031951,1237199477,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,r,4194304,3
1,23343434266249,23345204037679,1769771430,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,r,4194304,3
2,23345414468465,23347185657947,1771189482,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,r,4194304,3
3,23347390748559,23349751567406,2360818847,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,r,4194304,3
0,23457660049079,23458908444726,1248395647,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,w,4194304,3
1,23459102248770,23460872060044,1769811274,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,w,4194304,3
2,23461082495711,23463400482477,2317986766,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,w,4194304,3
3,23463607343946,23471575169899,7967825953,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,w,4194304,3
0,23086677617583,23086711452783,33835200,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,r,4194304,3
1,23086906301142,23086943617801,37316659,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,r,4194304,3
2,23087154470728,23087193577046,39106318,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,r,4194304,3
3,23087398761537,23087439893857,41132320,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,r,4194304,3
0,23899838379901,23902853389202,3015009301,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,r,4194304,3
1,23903046251293,23906063518000,3017266707,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,r,4194304,3
2,23906274465907,23909296632873,3022166966,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,r,4194304,3
3,23909502754378,23913528681308,4025926930,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,r,4194304,3
0,23054578621361,23054585817740,7196379,32768000,0,0x00010000,0x00400000,c,l,65536,2,c,w,4194304,3
1,23054782300432,23054789897151,7596719,32768000,0,0x00010000,0x00400000,c,l,65536,2,c,w,4194304,3
2,23055002500153,23055010304083,7803930,32768000,0,0x00010000,0x00400000,c,l,65536,2,c,w,4194304,3
3,23055231456960,23055240808565,9351605,32768000,0,0x00010000,0x00400000,c,l,65536,2,c,w,4194304,3
0,24678119334057,24683068323716,4948989659,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3
1,24683262262714,24688216068054,4953805340,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3
2,24688426476928,24694677833416,6251356488,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3
3,24694895409095,24716684747405,21789338310,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3
0,23045042398338,23045049599147,7200809,32768000,0,0x00010000,0x00400000,c,l,65536,2,c,r,4194304,3
1,23045242251357,23045250013412,7762055,32768000,0,0x00010000,0x00400000,c,l,65536,2,c,r,4194304,3
2,23045462469790,23045470566809,8097019,32768000,0,0x00010000,0x00400000,c,l,65536,2,c,r,4194304,3
3,23045674719868,23045682931018,8211150,32768000,0,0x00010000,0x00400000,c,l,65536,2,c,r,4194304,3
0,24346817351770,24351766551750,4949199980,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3
1,24351962263425,24356919403978,4957140553,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3
2,24357130476908,24362099912220,4969435312,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3
3,24362302750367,24368923445669,6620695302,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3
0,23150165323447,23150233790018,68466571,262144000,0,0x00080000,0x00400000,c,l,524288,2,c,w,4194304,3
1,23150430250237,23150504845311,74595074,262144000,0,0x00080000,0x00400000,c,l,524288,2,c,w,4194304,3
2,23150718489707,23150794653177,76163470,262144000,0,0x00080000,0x00400000,c,l,524288,2,c,w,4194304,3
3,23151011381182,23153503910629,2492529447,262144000,0,0x00080000,0x00400000,c,l,524288,2,c,w,4194304,3
0,23119641275839,23119709770253,68494414,262144000,0,0x00080000,0x00400000,c,l,524288,2,c,r,4194304,3
1,23119906297059,23120345468680,439171621,262144000,0,0x00080000,0x00400000,c,l,524288,2,c,r,4194304,3
2,23120558491605,23121138097957,579606352,262144000,0,0x00080000,0x00400000,c,l,524288,2,c,r,4194304,3
3,23121342776738,23122118333330,775556592,262144000,0,0x00080000,0x00400000,c,l,524288,2,c,r,4194304,3
