Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,204143799603909,204164607000416,20807396507,8388608000,0,0x01000000,0x00080000,c,l,16777216,2,c,r,524288,2
1,204164987960720,204186284553646,21296592926,8388608000,0,0x01000000,0x00080000,c,l,16777216,2,c,r,524288,2
2,204186500390722,204211661849885,25161459163,8388608000,0,0x01000000,0x00080000,c,l,16777216,2,c,r,524288,2
3,204211868682671,204235705572486,23836889815,8388608000,0,0x01000000,0x00080000,c,l,16777216,2,c,r,524288,2
0,203464054823132,203467068843694,3014020562,1310720000,0,0x00280000,0x00080000,c,l,2621440,2,c,r,524288,2
1,203467263957380,203470308341266,3044383886,1310720000,0,0x00280000,0x00080000,c,l,2621440,2,c,r,524288,2
2,203470524387693,203473717077137,3192689444,1310720000,0,0x00280000,0x00080000,c,l,2621440,2,c,r,524288,2
3,203473920692622,203477115363765,3194671143,1310720000,0,0x00280000,0x00080000,c,l,2621440,2,c,r,524288,2
0,203183185893174,203183325751678,139858504,524288000,0,0x00100000,0x00080000,c,l,1048576,2,c,r,524288,2
1,203183523974074,203184607862733,1083888659,524288000,0,0x00100000,0x00080000,c,l,1048576,2,c,r,524288,2
2,203184820402230,203186046070925,1225668695,524288000,0,0x00100000,0x00080000,c,l,1048576,2,c,r,524288,2
3,203186252684059,203187488994948,1236310889,524288000,0,0x00100000,0x00080000,c,l,1048576,2,c,r,524288,2
0,209267260393578,209268496306827,1235913249,786432000,0,0x00180000,0x00080000,c,l,1572864,2,c,w,524288,2
1,209268691951235,209270473709084,1781757849,786432000,0,0x00180000,0x00080000,c,l,1572864,2,c,w,524288,2
2,209270688319337,209272652673330,1964353993,786432000,0,0x00180000,0x00080000,c,l,1572864,2,c,w,524288,2
3,209272765670420,209276248572232,3482901812,786432000,0,0x00180000,0x00080000,c,l,1572864,2,c,w,524288,2
0,209115279582991,209115296120583,16537592,65536000,0,0x00020000,0x00080000,c,l,131072,2,c,w,524288,2
1,209115491951680,209115519503873,27552193,65536000,0,0x00020000,0x00080000,c,l,131072,2,c,w,524288,2
