Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,435583640918,435597171980,13531062,131072000,131072000,0x00040000,0x00040000
1,435738130805,435759894569,21763764,131072000,131072000,0x00040000,0x00040000
2,435970301682,436003014161,32712479,131072000,131072000,0x00040000,0x00040000
3,436206491542,436249817531,43325989,131072000,131072000,0x00040000,0x00040000
