Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,129689646747,129690942466,1295719,16384000,0,0x00008000,0x00280000,c,l,32768,3,c,w,2621440,2
1,129886473363,129887858232,1384869,16384000,0,0x00008000,0x00280000,c,l,32768,3,c,w,2621440,2
2,130098661794,130100048993,1387199,16384000,0,0x00008000,0x00280000,c,l,32768,3,c,w,2621440,2
3,130303126044,130304551886,1425842,16384000,0,0x00008000,0x00280000,c,l,32768,3,c,w,2621440,2
0,119953548593,119954850303,1301710,16384000,0,0x00008000,0x00280000,c,l,32768,3,c,r,2621440,2
1,120108047380,120109341320,1293940,16384000,0,0x00008000,0x00280000,c,l,32768,3,c,r,2621440,2
2,120314523541,120315910379,1386838,16384000,0,0x00008000,0x00280000,c,l,32768,3,c,r,2621440,2
3,120518672369,120520059907,1387538,16384000,0,0x00008000,0x00280000,c,l,32768,3,c,r,2621440,2
0,883727230073,886980173948,3252943875,1048576000,0,0x00200000,0x00280000,c,l,2097152,3,c,w,2621440,2
1,887174394234,890567442688,3393048454,1048576000,0,0x00200000,0x00280000,c,l,2097152,3,c,w,2621440,2
2,890778731199,894264394237,3485663038,1048576000,0,0x00200000,0x00280000,c,l,2097152,3,c,w,2621440,2
3,894466981419,898521918817,4054937398,1048576000,0,0x00200000,0x00280000,c,l,2097152,3,c,w,2621440,2
0,721329665542,724641163288,3311497746,1048576000,0,0x00200000,0x00280000,c,l,2097152,3,c,r,2621440,2
1,724834257641,728228239889,3393982248,1048576000,0,0x00200000,0x00280000,c,l,2097152,3,c,r,2621440,2
2,728438492507,731837342720,3398850213,1048576000,0,0x00200000,0x00280000,c,l,2097152,3,c,r,2621440,2
3,732042679267,735448163523,3405484256,1048576000,0,0x00200000,0x00280000,c,l,2097152,3,c,r,2621440,2
0,1572780031541,1579758019432,6977987891,2097152000,0,0x00400000,0x00280000,c,l,4194304,3,c,r,2621440,2
1,1579954252129,1586954563321,7000311192,2097152000,0,0x00400000,0x00280000,c,l,4194304,3,c,r,2621440,2
2,1587166482705,1594197340439,7030857734,2097152000,0,0x00400000,0x00280000,c,l,4194304,3,c,r,2621440,2
