Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,156593660491,156610196433,16535942,65536000,0,0x00020000,0x00080000,c,l,131072,3,c,r,524288,2
1,156806124359,156831652280,25527921,65536000,0,0x00020000,0x00080000,c,l,131072,3,c,r,524288,2
2,157042474705,157231137316,188662611,65536000,0,0x00020000,0x00080000,c,l,131072,3,c,r,524288,2
3,157434669322,157638867325,204198003,65536000,0,0x00020000,0x00080000,c,l,131072,3,c,r,524288,2
0,116448371826,116449682837,1311011,16384000,0,0x00008000,0x00080000,c,l,32768,3,c,r,524288,2
1,116646123084,116647434866,1311782,16384000,0,0x00008000,0x00080000,c,l,32768,3,c,r,524288,2
2,116858486783,116859886273,1399490,16384000,0,0x00008000,0x00080000,c,l,32768,3,c,r,524288,2
3,117062698788,117064169084,1470296,16384000,0,0x00008000,0x00080000,c,l,32768,3,c,r,524288,2
0,1777361738423,1784342410192,6980671769,2097152000,0,0x00400000,0x00080000,c,l,4194304,3,c,w,524288,2
1,1784538133548,1791603612791,7065479243,2097152000,0,0x00400000,0x00080000,c,l,4194304,3,c,w,524288,2
2,1791814460358,1799150354310,7335893952,2097152000,0,0x00400000,0x00080000,c,l,4194304,3,c,w,524288,2
3,1799354872085,1806552975480,7198103395,2097152000,0,0x00400000,0x00080000,c,l,4194304,3,c,w,524288,2
0,3808485893436,3837469236621,28983343185,8388608000,0,0x01000000,0x00080000,c,l,16777216,3,c,w,524288,2
1,3837846140930,3867313358352,29467217422,8388608000,0,0x01000000,0x00080000,c,l,16777216,3,c,w,524288,2
2,3867526484457,3903439443000,35912958543,8388608000,0,0x01000000,0x00080000,c,l,16777216,3,c,w,524288,2
3,3903642889167,3936170607456,32527718289,8388608000,0,0x01000000,0x00080000,c,l,16777216,3,c,w,524288,2
0,1203445637432,1207757331484,4311694052,1310720000,0,0x00280000,0x00080000,c,l,2621440,3,c,w,524288,2
1,1207950131178,1212272109418,4321978240,1310720000,0,0x00280000,0x00080000,c,l,2621440,3,c,w,524288,2
2,1212482462246,1216970846833,4488384587,1310720000,0,0x00280000,0x00080000,c,l,2621440,3,c,w,524288,2
3,1217174846666,1221585922108,4411075442,1310720000,0,0x00280000,0x00080000,c,l,2621440,3,c,w,524288,2
0,338544960636,338686994777,142034141,524288000,0,0x00100000,0x00080000,c,l,1048576,3,c,w,524288,2
1,338882126544,340438037316,1555910772,524288000,0,0x00100000,0x00080000,c,l,1048576,3,c,w,524288,2
2,340650459011,342377403192,1726944181,524288000,0,0x00100000,0x00080000,c,l,1048576,3,c,w,524288,2
3,342578866102,344308175730,1729309628,524288000,0,0x00100000,0x00080000,c,l,1048576,3,c,w,524288,2
