Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,1615676927739,1615743319853,66392114,16384000,16384000,0x00008000,0x00008000
1,1615940678272,1616007311960,66633688,16384000,16384000,0x00008000,0x00008000
2,1616220846906,1616287760402,66913496,16384000,16384000,0x00008000,0x00008000
3,1616493018351,1616560276271,67257920,16384000,16384000,0x00008000,0x00008000
