Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,5092677480807,5092687288097,9807290,16384000,0,0x00008000,0x00008000
1,5092884663428,5092894674519,10011091,16384000,0,0x00008000,0x00008000
2,5093096841388,5093106923646,10082258,16384000,0,0x00008000,0x00008000
3,5093313021039,5093323162702,10141663,16384000,0,0x00008000,0x00008000
