Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,602017174302,602085860795,68686493,262144000,0,0x00080000,0x00100000,c,l,524288,3,c,r,1048576,3
1,602282258819,603149422503,867163684,262144000,0,0x00080000,0x00100000,c,l,524288,3,c,r,1048576,3
2,603362488552,604506513940,1144025388,262144000,0,0x00080000,0x00100000,c,l,524288,3,c,r,1048576,3
3,604710707652,606310676377,1599968725,262144000,0,0x00080000,0x00100000,c,l,524288,3,c,r,1048576,3
0,641021700185,641090318141,68617956,262144000,0,0x00080000,0x00100000,c,l,524288,3,c,w,1048576,3
1,641286322945,642269001932,982678987,262144000,0,0x00080000,0x00100000,c,l,524288,3,c,w,1048576,3
2,642482517996,646243584771,3761066775,262144000,0,0x00080000,0x00100000,c,l,524288,3,c,w,1048576,3
3,646447691995,652748582912,6300890917,262144000,0,0x00080000,0x00100000,c,l,524288,3,c,w,1048576,3
0,261768906156,268747500698,6978594542,2097152000,0,0x00400000,0x00100000,c,l,4194304,3,c,r,1048576,3
1,268942248486,276119968554,7177720068,2097152000,0,0x00400000,0x00100000,c,l,4194304,3,c,r,1048576,3
2,276330458046,285469070320,9138612274,2097152000,0,0x00400000,0x00100000,c,l,4194304,3,c,r,1048576,3
3,285670709847,298436874207,12766164360,2097152000,0,0x00400000,0x00100000,c,l,4194304,3,c,r,1048576,3
0,156537240783,156544397948,7157165,32768000,0,0x00010000,0x00100000,c,l,65536,3,c,r,1048576,3
1,156738295232,156747383140,9087908,32768000,0,0x00010000,0x00100000,c,l,65536,3,c,r,1048576,3
2,156958501444,156966806684,8305240,32768000,0,0x00010000,0x00100000,c,l,65536,3,c,r,1048576,3
3,157170726959,157179164242,8437283,32768000,0,0x00010000,0x00100000,c,l,65536,3,c,r,1048576,3
0,657876832022,664857091240,6980259218,2097152000,0,0x00400000,0x00100000,c,l,4194304,3,c,w,1048576,3
1,665050270702,673355695647,8305424945,2097152000,0,0x00400000,0x00100000,c,l,4194304,3,c,w,1048576,3
2,673566534123,703912841521,30346307398,2097152000,0,0x00400000,0x00100000,c,l,4194304,3,c,w,1048576,3
3,704119630113,754839039474,50719409361,2097152000,0,0x00400000,0x00100000,c,l,4194304,3,c,w,1048576,3
0,166097323780,166104551682,7227902,32768000,0,0x00010000,0x00100000,c,l,65536,3,c,w,1048576,3
1,166298289880,166307528913,9239033,32768000,0,0x00010000,0x00100000,c,l,65536,3,c,w,1048576,3
2,166518540617,166527446277,8905660,32768000,0,0x00010000,0x00100000,c,l,65536,3,c,w,1048576,3
3,166731587514,166741472472,9884958,32768000,0,0x00010000,0x00100000,c,l,65536,3,c,w,1048576,3
0,355660634596,355694585988,33951392,131072000,0,0x00040000,0x00100000,c,l,262144,3,c,r,1048576,3
1,355890298963,356322436061,432137098,131072000,0,0x00040000,0x00100000,c,l,262144,3,c,r,1048576,3
2,356534462066,356782940743,248478677,131072000,0,0x00040000,0x00100000,c,l,262144,3,c,r,1048576,3
3,356986766679,357781991306,795224627,131072000,0,0x00040000,0x00100000,c,l,262144,3,c,r,1048576,3
0,2265334307497,2269646562035,4312254538,1310720000,0,0x00280000,0x00100000,c,l,2621440,3,c,r,1048576,3
1,2269842241937,2274265202737,4422960800,1310720000,0,0x00280000,0x00100000,c,l,2621440,3,c,r,1048576,3
2,2274478457535,2280192078014,5713620479,1310720000,0,0x00280000,0x00100000,c,l,2621440,3,c,r,1048576,3
