Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,240532641148,240546922025,14280877,131072000,0,0x00040000,0x00040000
1,240742125399,240763613726,21488327,131072000,0,0x00040000,0x00040000
2,240962307689,240993995965,31688276,131072000,0,0x00040000,0x00040000
3,241198497659,241242749780,44252121,131072000,0,0x00040000,0x00040000
