Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,39563807895,40780225886,1216417991,2097152000,0,0x00400000,0x00400000
1,40974409818,42198895545,1224485727,2097152000,0,0x00400000,0x00400000
2,42402672526,43638192216,1235519690,2097152000,0,0x00400000,0x00400000
3,43843048424,45324978165,1481929741,2097152000,0,0x00400000,0x00400000
