Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,74241550758,74242845438,1294680,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,r,1572864,3
1,74438305517,74439702267,1396750,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,r,1572864,3
2,74650457185,74651887208,1430023,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,r,1572864,3
3,74854817684,74856308453,1490769,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,r,1572864,3
0,235725571320,235726866619,1295299,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,w,1572864,3
1,235922309217,235923841680,1532463,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,w,1572864,3
2,236134593918,236136341073,1747155,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,w,1572864,3
3,236343644136,236345709242,2065106,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,w,1572864,3
0,1651090963450,1654334760361,3243796911,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,r,1572864,3
1,1654436329650,1657990093582,3553763932,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,r,1572864,3
2,1658202468602,1662720489840,4518021238,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,r,1572864,3
3,1662922754750,1669301950281,6379195531,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,r,1572864,3
0,1878545796241,1881808067828,3262271587,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,w,1572864,3
1,1882002269142,1889311374657,7309105515,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,w,1572864,3
2,1889522764549,1904918418449,15395653900,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,w,1572864,3
3,1905123583869,1930497910751,25374326882,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,w,1572864,3
0,652978041139,653046693869,68652730,262144000,0,0x00080000,0x00180000,c,l,524288,3,c,w,1572864,3
