Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,209476320030622,209478661516987,2341486365,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,w,4194304,2
1,209478860238033,209483209666895,4349428862,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,w,4194304,2
2,209483424614962,209487948226579,4523611617,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,w,4194304,2
3,209488156979277,209493152608706,4995629429,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,w,4194304,2
0,203390068281804,203392423180429,2354898625,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,r,4194304,2
1,203392620103885,203395006474934,2386371049,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,r,4194304,2
2,203395220407410,203397653990116,2433582706,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,r,4194304,2
3,203397860684799,203400404301230,2543616431,1048576000,0,0x00200000,0x00400000,c,l,2097152,2,c,r,4194304,2
0,209100035919037,209100037211736,1292699,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,w,4194304,2
1,209100232224911,209100233632231,1407320,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,w,4194304,2
2,209100448585079,209100450009831,1424752,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,w,4194304,2
3,209100657043178,209100658504253,1461075,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,w,4194304,2
0,203112367867775,203112369161654,1293879,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,r,4194304,2
1,203112564151607,203112565499472,1347865,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,r,4194304,2
2,203112780410315,203112781764321,1354006,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,r,4194304,2
3,203112988733460,203112990098007,1364547,16384000,0,0x00008000,0x00400000,c,l,32768,2,c,r,4194304,2
0,203145515568741,203145549438155,33869414,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,r,4194304,2
1,203145744153340,203145783106722,38953382,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,r,4194304,2
2,203145996410255,203146074137171,77726916,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,r,4194304,2
3,203146280681119,203146591712626,311031507,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,r,4194304,2
0,203530400362123,203533415392216,3015030093,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,r,4194304,2
1,203533612122143,203536660884887,3048762744,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,r,4194304,2
2,203536876433234,203539980889392,3104456158,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,r,4194304,2
3,203540188689445,203543424909269,3236219824,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,r,4194304,2
0,209327354141107,209328604313321,1250172214,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,w,4194304,2
1,209328800269380,209332068620955,3268351575,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,w,4194304,2
2,209332272570783,209335754747472,3482176689,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,w,4194304,2
3,209335965004791,209339725099829,3760095038,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,w,4194304,2
0,203280789876561,203282028795220,1238918659,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,r,4194304,2
1,203282224091614,203284010193846,1786102232,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,r,4194304,2
2,203284224406290,203286046416170,1822009880,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,r,4194304,2
3,203286252690450,203288158335897,1905645447,786432000,0,0x00180000,0x00400000,c,l,1572864,2,c,r,4194304,2
0,209137019365839,209137053270577,33904738,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,w,4194304,2
1,209137248216295,209137286538604,38322309,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,w,4194304,2
2,209137500583821,209137586664002,86080181,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,w,4194304,2
3,209137797062294,209138413976965,616914671,131072000,0,0x00040000,0x00400000,c,l,262144,2,c,w,4194304,2
0,209667256697220,209670270648665,3013951445,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,w,4194304,2
1,209670468235568,209675994799507,5526563939,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,w,4194304,2
2,209676208647474,209681928612987,5719965513,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,w,4194304,2
3,209682137001568,209688480019415,6343017847,1310720000,0,0x00280000,0x00400000,c,l,2621440,2,c,w,4194304,2
0,203132229548679,203132246165389,16616710,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,r,4194304,2
1,203132444110617,203132462888103,18777486,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,r,4194304,2
2,203132676401567,203132697106356,20704789,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,r,4194304,2
3,203132904700718,203132926886755,22186037,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,r,4194304,2
0,204587121182891,204607929621422,20808438531,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,r,4194304,2
1,204608312096488,204629526540986,21214444498,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,r,4194304,2
2,204629740410795,204651350250890,21609840095,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,r,4194304,2
3,204651740687961,204674171375433,22430687472,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,r,4194304,2
0,209224231691061,209224371238504,139547443,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,w,4194304,2
1,209224568252979,209226734671241,2166418262,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,w,4194304,2
2,209226948561283,209229269429127,2320867844,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,w,4194304,2
3,209229476994147,209231958771089,2481776942,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,w,4194304,2
0,179112419142,199922030640,20809611498,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,w,4194304,2
1,200298391655,236406383884,36107992229,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,w,4194304,2
2,236618755384,273607741160,36988985776,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,w,4194304,2
3,273810996679,320119408896,46308412217,8388608000,0,0x01000000,0x00400000,c,l,16777216,2,c,w,4194304,2
0,209120505434633,209120521954194,16519561,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,w,4194304,2
1,209120720330815,209120738644905,18314090,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,w,4194304,2
2,209120952566439,209120971898001,19331562,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,w,4194304,2
3,209121177039038,209121204621814,27582776,65536000,0,0x00020000,0x00400000,c,l,131072,2,c,w,4194304,2
0,203206319541184,203206459585746,140044562,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,r,4194304,2
1,203206656098881,203207842695423,1186596542,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,r,4194304,2
2,203208056400956,203209267156431,1210755475,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,r,4194304,2
3,203209472677196,203210738943518,1266266322,524288000,0,0x00100000,0x00400000,c,l,1048576,2,c,r,4194304,2
0,203166704225302,203166772697844,68472542,262144000,0,0x00080000,0x00400000,c,l,524288,2,c,r,4194304,2
1,203166968102548,203167553831922,585729374,262144000,0,0x00080000,0x00400000,c,l,524288,2,c,r,4194304,2
2,203167768400882,203168368734525,600333643,262144000,0,0x00080000,0x00400000,c,l,524288,2,c,r,4194304,2
