Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,138845618026,138852849988,7231962,32768000,0,0x00010000,0x00200000,c,l,65536,3,c,r,2097152,2
1,139046323170,139054477094,8153924,32768000,0,0x00010000,0x00200000,c,l,65536,3,c,r,2097152,2
2,139266480177,139275403149,8922972,32768000,0,0x00010000,0x00200000,c,l,65536,3,c,r,2097152,2
3,139478667658,139488044935,9377277,32768000,0,0x00010000,0x00200000,c,l,65536,3,c,r,2097152,2
0,1543800162374,1550779787728,6979625354,2097152000,0,0x00400000,0x00200000,c,l,4194304,3,c,r,2097152,2
1,1550974271251,1557976380392,7002109141,2097152000,0,0x00400000,0x00200000,c,l,4194304,3,c,r,2097152,2
2,1558186491775,1565219332277,7032840502,2097152000,0,0x00400000,0x00200000,c,l,4194304,3,c,r,2097152,2
3,1565422674165,1572470119276,7047445111,2097152000,0,0x00400000,0x00200000,c,l,4194304,3,c,r,2097152,2
0,148974177383,148981399175,7221792,32768000,0,0x00010000,0x00200000,c,l,65536,3,c,w,2097152,2
1,149174437843,149182325761,7887918,32768000,0,0x00010000,0x00200000,c,l,65536,3,c,w,2097152,2
2,149394712802,149402956366,8243564,32768000,0,0x00010000,0x00200000,c,l,65536,3,c,w,2097152,2
3,149607052938,149624532945,17480007,32768000,0,0x00010000,0x00200000,c,l,65536,3,c,w,2097152,2
0,1870840156255,1877818871029,6978714774,2097152000,0,0x00400000,0x00200000,c,l,4194304,3,c,w,2097152,2
1,1878014391024,1885006815218,6992424194,2097152000,0,0x00400000,0x00200000,c,l,4194304,3,c,w,2097152,2
2,1885218728782,1892513511016,7294782234,2097152000,0,0x00400000,0x00200000,c,l,4194304,3,c,w,2097152,2
3,1892719038782,1902449519644,9730480862,2097152000,0,0x00400000,0x00200000,c,l,4194304,3,c,w,2097152,2
0,223917997050,223986730308,68733258,262144000,0,0x00080000,0x00200000,c,l,524288,3,c,r,2097152,2
1,224182281197,225024887237,842606040,262144000,0,0x00080000,0x00200000,c,l,524288,3,c,r,2097152,2
2,225238482539,226082394030,843911491,262144000,0,0x00080000,0x00200000,c,l,524288,3,c,r,2097152,2
3,226286690363,227132051719,845361356,262144000,0,0x00080000,0x00200000,c,l,524288,3,c,r,2097152,2
0,254159242901,254227976938,68734037,262144000,0,0x00080000,0x00200000,c,l,524288,3,c,w,2097152,2
1,254422460691,255263570342,841109651,262144000,0,0x00080000,0x00200000,c,l,524288,3,c,w,2097152,2
