Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,223917997050,223986730308,68733258,262144000,0,0x00080000,0x00200000
1,224182281197,225024887237,842606040,262144000,0,0x00080000,0x00200000
2,225238482539,226082394030,843911491,262144000,0,0x00080000,0x00200000
3,226286690363,227132051719,845361356,262144000,0,0x00080000,0x00200000
