Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,194834122031,194868113137,33991106,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,w,131072,2
1,195062133963,195117032388,54898425,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,w,131072,2
2,195330304528,195400905372,70600844,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,w,131072,2
3,195602475912,195683046903,80570991,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,w,131072,2
0,134229566883,134236792465,7225582,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,r,131072,2
1,134430129933,134440482177,10352244,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,r,131072,2
2,134650303712,134664690429,14386717,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,r,131072,2
3,134866474761,134882991981,16517220,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,r,131072,2
0,793069742270,796392886149,3323143879,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,w,131072,2
1,796586127928,799998906443,3412778515,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,w,131072,2
2,800210304205,803664608640,3454304435,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,w,131072,2
3,803866477640,807376524204,3510046564,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,w,131072,2
0,210951276102,211019948073,68671971,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,r,131072,2
1,211214137826,211315196743,101058917,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,r,131072,2
2,211526302857,211665918917,139616060,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,r,131072,2
3,211870482566,212031354410,160871844,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,r,131072,2
0,240423263720,240491951833,68688113,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,w,131072,2
1,240686125384,240797117244,110991860,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,w,131072,2
2,241010305056,241152753089,142448033,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,w,131072,2
3,241354483995,241517415445,162931450,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,w,131072,2
0,634575181827,637862831710,3287649883,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,r,131072,2
1,638058124353,641462070466,3403946113,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,r,131072,2
2,641674305842,645128239059,3453933217,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,r,131072,2
3,645330479416,648835562064,3505082648,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,r,131072,2
0,144365599317,144372781995,7182678,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,w,131072,2
1,144566127583,144577477947,11350364,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,w,131072,2
2,144790303442,144804923023,14619581,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,w,131072,2
3,145006474251,145023131146,16656895,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,w,131072,2
0,177148495172,177182392829,33897657,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,r,131072,2
1,177378130707,177427930753,49800046,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,r,131072,2
2,177638306053,177707437460,69131407,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,r,131072,2
3,177910486328,177990201133,79714805,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,r,131072,2
0,1166517601136,1170829890477,4312289341,1310720000,0,0x00280000,0x00020000,c,l,2621440,3,c,w,131072,2
1,1171026131365,1175348535798,4322404433,1310720000,0,0x00280000,0x00020000,c,l,2621440,3,c,w,131072,2
2,1175546303558,1179970539636,4424236078,1310720000,0,0x00280000,0x00020000,c,l,2621440,3,c,w,131072,2
3,1180174481893,1184659164250,4484682357,1310720000,0,0x00280000,0x00020000,c,l,2621440,3,c,w,131072,2
0,329393226100,329534942640,141716540,524288000,0,0x00100000,0x00020000,c,l,1048576,3,c,w,131072,2
1,329730131142,330309229184,579098042,524288000,0,0x00100000,0x00020000,c,l,1048576,3,c,w,131072,2
2,330522304784,331489745588,967440804,524288000,0,0x00100000,0x00020000,c,l,1048576,3,c,w,131072,2
3,331694482565,332985287099,1290804534,524288000,0,0x00100000,0x00020000,c,l,1048576,3,c,w,131072,2
0,400921003315,402639329066,1718325751,786432000,0,0x00180000,0x00020000,c,l,1572864,3,c,r,131072,2
1,402834128559,404926485462,2092356903,786432000,0,0x00180000,0x00020000,c,l,1572864,3,c,r,131072,2
2,405138309417,407575010935,2436701518,786432000,0,0x00180000,0x00020000,c,l,1572864,3,c,r,131072,2
3,407778482605,410400036944,2621554339,786432000,0,0x00180000,0x00020000,c,l,1572864,3,c,r,131072,2
0,3563702048569,3592684982833,28982934264,8388608000,0,0x01000000,0x00020000,c,l,16777216,3,c,w,131072,2
1,3593058129787,3622506892975,29448763188,8388608000,0,0x01000000,0x00020000,c,l,16777216,3,c,w,131072,2
2,3622886302495,3653775620069,30889317574,8388608000,0,0x01000000,0x00020000,c,l,16777216,3,c,w,131072,2
