Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,10511251675241,10511265954038,14278797,131072000,0,0x00040000,0x00040000
1,10511462139500,10511484021017,21881517,131072000,0,0x00040000,0x00040000
2,10511694301647,10511727457000,33155353,131072000,0,0x00040000,0x00040000
3,10511930490677,10511974965431,44474754,131072000,0,0x00040000,0x00040000
