Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,23031315954370,23031317248369,1293999,16384000,0,0x00008000,0x00080000,c,l,32768,2,c,w,524288,3
1,23031510133152,23031511442893,1309741,16384000,0,0x00008000,0x00080000,c,l,32768,2,c,w,524288,3
2,23031710515884,23031711872089,1356205,16384000,0,0x00008000,0x00080000,c,l,32768,2,c,w,524288,3
3,23031914806956,23031916206066,1399110,16384000,0,0x00008000,0x00080000,c,l,32768,2,c,w,524288,3
0,24236315417825,24241262960730,4947542905,2097152000,0,0x00400000,0x00080000,c,l,4194304,2,c,r,524288,3
1,24241458125260,24246466710354,5008585094,2097152000,0,0x00400000,0x00080000,c,l,4194304,2,c,r,524288,3
2,24246678447110,24251852832060,5174384950,2097152000,0,0x00400000,0x00080000,c,l,4194304,2,c,r,524288,3
3,24252054657696,24257150289268,5095631572,2097152000,0,0x00400000,0x00080000,c,l,4194304,2,c,r,524288,3
0,23070293730750,23070310330829,16600079,65536000,0,0x00020000,0x00080000,c,l,131072,2,c,w,524288,3
1,23070506126122,23070533641312,27515190,65536000,0,0x00020000,0x00080000,c,l,131072,2,c,w,524288,3
2,23070746460286,23070778267914,31807628,65536000,0,0x00020000,0x00080000,c,l,131072,2,c,w,524288,3
3,23070994770826,23071024100927,29330101,65536000,0,0x00020000,0x00080000,c,l,131072,2,c,w,524288,3
0,23831008572679,23834023103803,3014531124,1310720000,0,0x00280000,0x00080000,c,l,2621440,2,c,r,524288,3
1,23834218123829,23837263159690,3045035861,1310720000,0,0x00280000,0x00080000,c,l,2621440,2,c,r,524288,3
2,23837474469554,23840621828829,3147359275,1310720000,0,0x00280000,0x00080000,c,l,2621440,2,c,r,524288,3
3,23840826665076,23843915824206,3089159130,1310720000,0,0x00280000,0x00080000,c,l,2621440,2,c,r,524288,3
0,23167960138115,23168099872567,139734452,524288000,0,0x00100000,0x00080000,c,l,1048576,2,c,r,524288,3
1,23168294135047,23169381669990,1087534943,524288000,0,0x00100000,0x00080000,c,l,1048576,2,c,r,524288,3
2,23169594454961,23170802313737,1207858776,524288000,0,0x00100000,0x00080000,c,l,1048576,2,c,r,524288,3
3,23171006677656,23172202427702,1195750046,524288000,0,0x00100000,0x00080000,c,l,1048576,2,c,r,524288,3
