Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,567935825209,570018480702,2082655493,2097152000,2097152000,0x00400000,0x00400000
1,570214248253,572471224473,2256976220,2097152000,2097152000,0x00400000,0x00400000
2,572682471861,575031505990,2349034129,2097152000,2097152000,0x00400000,0x00400000
3,575234658118,577544041705,2309383587,2097152000,2097152000,0x00400000,0x00400000
