Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,23049368118242,23049375336763,7218521,32768000,0,0x00010000,0x00040000,c,l,65536,2,c,w,262144,3
1,23049570130946,23049581734336,11603390,32768000,0,0x00010000,0x00040000,c,l,65536,2,c,w,262144,3
2,23049794298265,23049808962460,14664195,32768000,0,0x00010000,0x00040000,c,l,65536,2,c,w,262144,3
3,23050010486595,23050027546200,17059605,32768000,0,0x00010000,0x00040000,c,l,65536,2,c,w,262144,3
0,23079911120043,23079945017200,33897157,131072000,0,0x00040000,0x00040000,c,l,262144,2,c,r,262144,3
1,23080138138326,23080189439872,51301546,131072000,0,0x00040000,0x00040000,c,l,262144,2,c,r,262144,3
2,23080402307121,23080472214876,69907755,131072000,0,0x00040000,0x00040000,c,l,262144,2,c,r,262144,3
3,23080674478696,23080756679369,82200673,131072000,0,0x00040000,0x00040000,c,l,262144,2,c,r,262144,3
0,23514938950887,23517238525634,2299574747,1048576000,0,0x00200000,0x00040000,c,l,2097152,2,c,r,262144,3
1,23517434123688,23519812470515,2378346827,1048576000,0,0x00200000,0x00040000,c,l,2097152,2,c,r,262144,3
2,23520026301661,23522472698078,2446396417,1048576000,0,0x00200000,0x00040000,c,l,2097152,2,c,r,262144,3
3,23522674496081,23525183075521,2508579440,1048576000,0,0x00200000,0x00040000,c,l,2097152,2,c,r,262144,3
0,23128815307063,23128883852241,68545178,262144000,0,0x00080000,0x00040000,c,l,524288,2,c,w,262144,3
1,23129078125683,23129190867228,112741545,262144000,0,0x00080000,0x00040000,c,l,524288,2,c,w,262144,3
2,23129402305294,23129545352937,143047643,262144000,0,0x00080000,0x00040000,c,l,524288,2,c,w,262144,3
3,23129746484363,23130268474829,521990466,262144000,0,0x00080000,0x00040000,c,l,524288,2,c,w,262144,3
0,23104599142201,23104667730504,68588303,262144000,0,0x00080000,0x00040000,c,l,524288,2,c,r,262144,3
