Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,170068590007,177047461846,6978871839,2097152000,0,0x00400000,0x00020000
1,177242128707,184292797660,7050668953,2097152000,0,0x00400000,0x00020000
2,184506305873,191745899093,7239593220,2097152000,0,0x00400000,0x00020000
3,191950480124,199325904806,7375424682,2097152000,0,0x00400000,0x00020000
