Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,595653091311,595721737470,68646159,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,r,131072,3
1,595918127732,596018504762,100377030,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,r,131072,3
2,596230301864,596369683911,139382047,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,r,131072,3
3,596574481063,596735570059,161088996,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,r,131072,3
0,153928193945,153935422627,7228682,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,r,131072,3
1,154130123721,154140522350,10398629,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,r,131072,3
2,154354299860,154368669286,14369426,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,r,131072,3
3,154570479680,154586995270,16515590,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,r,131072,3
0,369042881692,369076844836,33963144,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,w,131072,3
1,369270126718,369324960297,54833579,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,w,131072,3
2,369538304504,369608919209,70614705,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,w,131072,3
3,369810485729,369890999254,80513525,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,w,131072,3
0,1773504592658,1776756586018,3251993360,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,w,131072,3
1,1776950124686,1780360528264,3410403578,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,w,131072,3
2,1780574301263,1784028524299,3454223036,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,w,131072,3
3,1784230483369,1787747706070,3517222701,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,w,131072,3
0,1587312644319,1590567178683,3254534364,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,r,131072,3
1,1590762126122,1594166485486,3404359364,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,r,131072,3
2,1594378307280,1597832247728,3453940448,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,r,131072,3
3,1598034481025,1601539671924,3505190899,1048576000,0,0x00200000,0x00020000,c,l,2097152,3,c,r,131072,3
0,351510819688,351544741857,33922169,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,r,131072,3
1,351738133060,351788017415,49884355,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,r,131072,3
2,351998299866,352067551545,69251679,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,r,131072,3
3,352270489752,352350168063,79678311,131072000,0,0x00040000,0x00020000,c,l,262144,3,c,r,131072,3
0,163499795412,163507010063,7214651,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,w,131072,3
1,163702151691,163713554730,11403039,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,w,131072,3
2,163910389818,163925053403,14663585,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,w,131072,3
3,164126483009,164143190398,16707389,32768000,0,0x00010000,0x00020000,c,l,65536,3,c,w,131072,3
0,631831739250,631900422263,68683013,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,w,131072,3
1,632094123427,632204712076,110588649,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,w,131072,3
2,632418303388,632560707016,142403628,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,w,131072,3
3,632778489967,632941248469,162758502,262144000,0,0x00080000,0x00020000,c,l,524288,3,c,w,131072,3
0,295864902173,295881426094,16523921,65536000,0,0x00020000,0x00020000,c,l,131072,3,c,r,131072,3
