Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,351301261269,351443185790,141924521,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,w,1572864,2
1,351638392755,353330614497,1692221742,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,w,1572864,2
2,353542704228,355301604913,1758900685,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,w,1572864,2
3,355507083863,357776495547,2269411684,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,w,1572864,2
0,4075675650670,4104658336128,28982685458,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,w,1572864,2
1,4105034417605,4134124344510,29089926905,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,w,1572864,2
2,4134518700522,4164874248584,30355548062,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,w,1572864,2
3,4165079051117,4209229909928,44150858811,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,w,1572864,2
0,170153678290,170170318012,16639722,65536000,0,0x00020000,0x00180000,c,l,131072,3,c,w,1572864,2
1,170366506485,170385112504,18606019,65536000,0,0x00020000,0x00180000,c,l,131072,3,c,w,1572864,2
2,170598719997,170618884342,20164345,65536000,0,0x00020000,0x00180000,c,l,131072,3,c,w,1572864,2
3,170823069793,170880959248,57889455,65536000,0,0x00020000,0x00180000,c,l,131072,3,c,w,1572864,2
0,294551700952,294692551495,140850543,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,r,1572864,2
1,294886281192,296579239698,1692958506,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,r,1572864,2
2,296790479195,298485795116,1695315921,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,r,1572864,2
3,298690671836,300389454244,1698782408,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,r,1572864,2
0,183308568610,183342536433,33967823,131072000,0,0x00040000,0x00180000,c,l,262144,3,c,r,1572864,2
1,183538312155,183955695379,417383224,131072000,0,0x00040000,0x00180000,c,l,262144,3,c,r,1572864,2
2,184166486360,184584959223,418472863,131072000,0,0x00040000,0x00180000,c,l,262144,3,c,r,1572864,2
3,184786675898,185206426088,419750190,131072000,0,0x00040000,0x00180000,c,l,262144,3,c,r,1572864,2
0,1038985389754,1043297999228,4312609474,1310720000,0,0x00280000,0x00180000,c,l,2621440,3,c,r,1572864,2
1,1043494279579,1047809151869,4314872290,1310720000,0,0x00280000,0x00180000,c,l,2621440,3,c,r,1572864,2
2,1048006481556,1052323259466,4316777910,1310720000,0,0x00280000,0x00180000,c,l,2621440,3,c,r,1572864,2
3,1052526664190,1056846933009,4320268819,1310720000,0,0x00280000,0x00180000,c,l,2621440,3,c,r,1572864,2
0,551387540921,553113162810,1725621889,786432000,0,0x00180000,0x00180000,c,l,1572864,3,c,w,1572864,2
1,553306391457,555849037451,2542645994,786432000,0,0x00180000,0x00180000,c,l,1572864,3,c,w,1572864,2
2,556062697849,558707543635,2644845786,786432000,0,0x00180000,0x00180000,c,l,1572864,3,c,w,1572864,2
3,558911073591,562311174560,3400100969,786432000,0,0x00180000,0x00180000,c,l,1572864,3,c,w,1572864,2
