Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,413156465708,413170239584,13773876,20971520,20971520,0x00400000,0x00400000
1,413310287227,413325321379,15034152,20971520,20971520,0x00400000,0x00400000
2,413538481858,413553834602,15352744,20971520,20971520,0x00400000,0x00400000
3,413758657517,413775518932,16861415,20971520,20971520,0x00400000,0x00400000
