Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,5038882164280,5038895617874,13453594,131072000,131072000,0x00040000,0x00040000
1,5039090149591,5039112293404,22143813,131072000,131072000,0x00040000,0x00040000
2,5039322320989,5039355414036,33093047,131072000,131072000,0x00040000,0x00040000
3,5039570702457,5039613921625,43219168,131072000,131072000,0x00040000,0x00040000
