Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,206975994443,207009961816,33967373,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,w,16777216,2
1,207206476842,207244178929,37702087,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,w,16777216,2
2,207450643088,207495560636,44917548,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,w,16777216,2
3,207714967369,208195782250,480814881,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,w,16777216,2
0,234396913994,234465663333,68749339,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,r,16777216,2
1,234662311552,235504741285,842429733,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,r,16777216,2
2,235718485082,236562002494,843517412,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,r,16777216,2
3,236778656071,237623393365,844737294,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,r,16777216,2
0,162927901870,162944474806,16572936,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,r,16777216,2
1,163138257208,163157162487,18905279,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,r,16777216,2
2,163370487692,163391826134,21338442,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,r,16777216,2
3,163606687833,163629790931,23103098,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,r,16777216,2
0,121703252539,121704550538,1297999,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,r,16777216,2
1,121898276225,121899661043,1384818,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,r,16777216,2
2,122110480358,122111866456,1386098,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,r,16777216,2
3,122318728695,122320116884,1388189,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,r,16777216,2
0,4594589607280,4623571015882,28981408602,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,w,16777216,2
1,4623946400689,4653000667590,29054266901,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,w,16777216,2
2,4653218649020,4682472264860,29253615840,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,w,16777216,2
3,4682687008756,4720958150842,38271142086,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,w,16777216,2
0,482640258035,484353915258,1713657223,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,r,16777216,2
1,484550261057,487092927663,2542666606,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,r,16777216,2
2,487306481891,489852901692,2546419801,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,r,16777216,2
3,490070670911,492621814574,2551143663,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,r,16777216,2
0,1630758295377,1637737521142,6979225765,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,r,16777216,2
1,1637930265710,1644931351249,7001085539,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,r,16777216,2
2,1645142489735,1652174053170,7031563435,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,r,16777216,2
3,1652382681355,1659428677611,7045996256,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,r,16777216,2
0,174124045928,174140633615,16587687,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,w,16777216,2
1,174334443520,174352599584,18156064,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,w,16777216,2
2,174554668704,174573804646,19135942,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,w,16777216,2
3,174794959734,174820913507,25953773,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,w,16777216,2
0,265288101785,265356799409,68697624,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,w,16777216,2
1,265550438327,266390021686,839583359,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,w,16777216,2
2,266602646401,267445407047,842760646,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,w,16777216,2
3,267666974415,268690679981,1023705566,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,w,16777216,2
0,190887838499,190921735016,33896517,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,r,16777216,2
1,191118316338,191166878950,48562612,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,r,16777216,2
2,191378473282,191797447575,418974293,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,r,16777216,2
3,192002664259,192422498688,419834429,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,r,16777216,2
0,131491920145,131493217225,1297080,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,w,16777216,2
1,131686446531,131687830800,1384269,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,w,16777216,2
2,131902712070,131904136002,1423932,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,w,16777216,2
3,132122990220,132124412402,1422182,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,w,16777216,2
0,3204689474227,3233670038554,28980564327,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,r,16777216,2
1,3234046253165,3263161454964,29115201799,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,r,16777216,2
2,3263554492095,3292950778430,29396286335,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,r,16777216,2
3,3293154681613,3323082612329,29927930716,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,r,16777216,2
0,1963690410243,1970670026226,6979615983,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,w,16777216,2
1,1970866378405,1977858136942,6991758537,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,w,16777216,2
2,1978070657127,1985092361496,7021704369,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,w,16777216,2
3,1985298999342,1993906696939,8607697597,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,w,16777216,2
0,595332630401,597051973933,1719343532,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,w,16777216,2
1,597246401590,599789245534,2542843944,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,w,16777216,2
2,600006662497,602552783389,2546120892,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,w,16777216,2
3,602774994191,605736833290,2961839099,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,w,16777216,2
0,141615808296,141623006845,7198549,32768000,0,0x00010000,0x01000000,c,l,65536,3,c,r,16777216,2
