Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,12851425781902,12880408431577,28982649675,8388608000,0,0x01000000,0x00040000
1,12880782131926,12910241511565,29459379639,8388608000,0,0x01000000,0x00040000
2,12910634307422,12941579114841,30944807419,8388608000,0,0x01000000,0x00040000
3,12941782501432,12973565489480,31782988048,8388608000,0,0x01000000,0x00040000
