Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,96857487479,96885651653,28164174,16384000,0,0x00008000,0x00008000
1,97084670239,97117010500,32340261,16384000,0,0x00008000,0x00008000
2,97332854087,97365414020,32559933,16384000,0,0x00008000,0x00008000
3,97569032215,97603167065,34134850,16384000,0,0x00008000,0x00008000
