Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,98427379931523,98427392155565,12224042,20971520,0,0x00400000,0x00400000
1,98427534286496,98427550385605,16099109,20971520,0,0x00400000,0x00400000
2,98427762471676,98427786196886,23725210,20971520,0,0x00400000,0x00400000
3,98427990754755,98428022703898,31949143,20971520,0,0x00400000,0x00400000
