Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
3,1017423035363,1072200147529,54777112166,8388608000,0,0x01000000,0x00200000,c,l,16777216,2,c,w,2097152,2
0,209118622836819,209118639369281,16532462,65536000,0,0x00020000,0x00200000,c,l,131072,2,c,w,2097152,2
1,209118836270745,209118854679944,18409199,65536000,0,0x00020000,0x00200000,c,l,131072,2,c,w,2097152,2
2,209119068621671,209119088978035,20356364,65536000,0,0x00020000,0x00200000,c,l,131072,2,c,w,2097152,2
3,209119297069237,209119350153341,53084104,65536000,0,0x00020000,0x00200000,c,l,131072,2,c,w,2097152,2
0,209207796295782,209207936698641,140402859,524288000,0,0x00100000,0x00200000,c,l,1048576,2,c,w,2097152,2
1,209208132235258,209210357011011,2224775753,524288000,0,0x00100000,0x00200000,c,l,1048576,2,c,w,2097152,2
2,209210572663309,209212931101387,2358438078,524288000,0,0x00100000,0x00200000,c,l,1048576,2,c,w,2097152,2
3,209213137054996,209215972502326,2835447330,524288000,0,0x00100000,0x00200000,c,l,1048576,2,c,w,2097152,2
0,203130386176014,203130402770972,16594958,65536000,0,0x00020000,0x00200000,c,l,131072,2,c,r,2097152,2
1,203130600156895,203130618923630,18766735,65536000,0,0x00020000,0x00200000,c,l,131072,2,c,r,2097152,2
2,203130832458095,203130852944292,20486197,65536000,0,0x00020000,0x00200000,c,l,131072,2,c,r,2097152,2
3,203131060695010,203131082944913,22249903,65536000,0,0x00020000,0x00200000,c,l,131072,2,c,r,2097152,2
0,204412117796082,204432925522782,20807726700,8388608000,0,0x01000000,0x00200000,c,l,16777216,2,c,r,2097152,2
1,204433308119150,204454522374819,21214255669,8388608000,0,0x01000000,0x00200000,c,l,16777216,2,c,r,2097152,2
2,204454736398504,204476340578783,21604180279,8388608000,0,0x01000000,0x00200000,c,l,16777216,2,c,r,2097152,2
3,204476732681961,204499044132898,22311450937,8388608000,0,0x01000000,0x00200000,c,l,16777216,2,c,r,2097152,2
0,203265576526806,203266815426633,1238899827,786432000,0,0x00180000,0x00200000,c,l,1572864,2,c,r,2097152,2
1,203267012093894,203268797977704,1785883810,786432000,0,0x00180000,0x00200000,c,l,1572864,2,c,r,2097152,2
2,203269012410330,203270829763935,1817353605,786432000,0,0x00180000,0x00200000,c,l,1572864,2,c,r,2097152,2
3,203271036695661,203272925607285,1888911624,786432000,0,0x00180000,0x00200000,c,l,1572864,2,c,r,2097152,2
0,209622845258003,209625860515519,3015257516,1310720000,0,0x00280000,0x00200000,c,l,2621440,2,c,w,2097152,2
1,209626056240265,209631640482657,5584242392,1310720000,0,0x00280000,0x00200000,c,l,2621440,2,c,w,2097152,2
2,209631856652366,209637792843884,5936191518,1310720000,0,0x00280000,0x00200000,c,l,2621440,2,c,w,2097152,2
3,209638001091152,209645285523342,7284432190,1310720000,0,0x00280000,0x00200000,c,l,2621440,2,c,w,2097152,2
0,209133152286431,209133186126873,33840442,131072000,0,0x00040000,0x00200000,c,l,262144,2,c,w,2097152,2
1,209133384352029,209133423938824,39586795,131072000,0,0x00040000,0x00200000,c,l,262144,2,c,w,2097152,2
2,209133636630976,209134210850100,574219124,131072000,0,0x00040000,0x00200000,c,l,262144,2,c,w,2097152,2
3,209134417043972,209135122841214,705797242,131072000,0,0x00040000,0x00200000,c,l,262144,2,c,w,2097152,2
0,203503885156097,203506899539316,3014383219,1310720000,0,0x00280000,0x00200000,c,l,2621440,2,c,r,2097152,2
1,203507096117138,203510145121846,3049004708,1310720000,0,0x00280000,0x00200000,c,l,2621440,2,c,r,2097152,2
2,203510348404717,203513451492699,3103087982,1310720000,0,0x00280000,0x00200000,c,l,2621440,2,c,r,2097152,2
3,203513656699833,203516868791336,3212091503,1310720000,0,0x00280000,0x00200000,c,l,2621440,2,c,r,2097152,2
0,203142884324724,203142918198769,33874045,131072000,0,0x00040000,0x00200000,c,l,262144,2,c,r,2097152,2
1,203143116150908,203143155292229,39141321,131072000,0,0x00040000,0x00200000,c,l,262144,2,c,r,2097152,2
2,203143368409183,203143456248229,87839046,131072000,0,0x00040000,0x00200000,c,l,262144,2,c,r,2097152,2
3,203143660712979,203143969379420,308666441,131072000,0,0x00040000,0x00200000,c,l,262144,2,c,r,2097152,2
0,209301482825338,209302722465689,1239640351,786432000,0,0x00180000,0x00200000,c,l,1572864,2,c,w,2097152,2
1,209302920233900,209306262087748,3341853848,786432000,0,0x00180000,0x00200000,c,l,1572864,2,c,w,2097152,2
2,209306476679650,209310013470496,3536790846,786432000,0,0x00180000,0x00200000,c,l,1572864,2,c,w,2097152,2
3,209310221069009,209314470115702,4249046693,786432000,0,0x00180000,0x00200000,c,l,1572864,2,c,w,2097152,2
