Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,209301482825338,209302722465689,1239640351,786432000,0,0x00180000,0x00200000
1,209302920233900,209306262087748,3341853848,786432000,0,0x00180000,0x00200000
2,209306476679650,209310013470496,3536790846,786432000,0,0x00180000,0x00200000
3,209310221069009,209314470115702,4249046693,786432000,0,0x00180000,0x00200000
