Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference)
0,520020963191,520057446716,36483525,16384000,0,0x00008000,0x00008000
1,520252663972,520295089291,42425319,16384000,0,0x00008000,0x00008000
2,520508870711,520552900910,44030199,16384000,0,0x00008000,0x00008000
3,520757025856,520800823142,43797286,16384000,0,0x00008000,0x00008000
